ID,Scene,Timestamp (s),Name,Filename,Duration (s),Prompt
scene4_006,4,21.67,"Shards Fade",scene4_006_shards_fade.mp3,0.5,"gentle descending particles dissipating, soft fading"
scene4_007,4,21.50,"X Mark Draws",scene4_007_x_mark_draws.mp3,0.3,"soft pen crossing strokes, gentle X shape"
scene4_008,4,21.60,"X Pulses",scene4_008_x_pulses.mp3,0.3,"quiet electrical pulse, gentle"
scene4_009,4,22.33,"Becomes Hollow",scene4_009_becomes_hollow.mp3,0.8,"soft reverse materialization, gentle hollow echo effect, empty interior"
scene4_010,4,22.50,"Interior Reveals",scene4_010_interior_reveals.mp3,0.5,"quiet eerie tone, soft cave-like emptiness"
scene4_011,4,22.60,"Empty Symbol",scene4_011_empty_symbol.mp3,0.3,"very soft void tone, gentle absence sound"
scene4_012,4,22.67,"Code Brackets",scene4_012_code_brackets.mp3,0.4,"soft pen strokes drawing brackets"
scene4_013,4,22.77,"Code Lines",scene4_013_code_lines.mp3,0.3,"quiet rapid line drawing, soft staccato"
scene4_014,4,23.00,"Code Dots",scene4_014_code_dots.mp3,0.4,"three soft tech beeps, gentle sequence"
scene4_015,4,23.10,"Instruction Arrows",scene4_015_instruction_arrows.mp3,0.4,"quiet arrow pop sounds, soft direction indicators"
scene4_016,4,23.17,"Threads Launch",scene4_016_threads_launch.mp3,0.8,"soft beam launch sounds, gentle threads shooting outward, five quiet whooshes"
scene4_017,4,24.00,"Threads Form",scene4_017_threads_form.mp3,1.0,"quiet sustained energy tone, soft connection humming"
scene4_018,4,24.17,"Particles Travel",scene4_018_particles_travel.mp3,1.0,"gentle data flowing through channels, soft movement left to right"
scene4_019,4,24.33,"Endpoints Light",scene4_019_endpoints_light.mp3,0.5,"soft arrival tones, gentle connection confirmations, five quiet pings"
scene4_020,4,24.50,"Data Boxes Pop",scene4_020_data_boxes_pop.mp3,0.8,"gentle cascade of five soft box appearances, quiet falling into place"
scene4_021,4,24.83,"Boxes Light Up",scene4_021_boxes_light_up.mp3,0.5,"soft electric glow activation, gentle illumination"
scene4_022,4,24.93,"Endpoint Pulses",scene4_022_endpoint_pulses.mp3,0.4,"quiet synchronized pulses, soft energy at endpoints"
scene4_023,4,25.33,"Fill Animation Start",scene4_023_fill_animation_start.mp3,0.5,"soft water beginning to pour, gentle liquid fill starting"
scene4_024,4,25.43,"Main Fill",scene4_024_main_fill.mp3,1.0,"gentle satisfying liquid fill sound, soft water rising in container, calming"
scene4_025,4,25.50,"Labels Appear",scene4_025_labels_appear.mp3,0.3,"quiet text pop sounds, soft labels revealing"
scene4_026,4,25.83,"Program Dims",scene4_026_program_dims.mp3,0.5,"soft descending pitch, gentle fading tone showing emptiness"
scene4_027,4,26.00,"Data Boxes Bright",scene4_027_data_boxes_bright.mp3,0.5,"gentle energetic pulse, soft triumphant glow, emphasis"
scene4_028,4,26.17,"Ambient Particles",scene4_028_ambient_particles.mp3,1.0,"very soft shimmer sparkle layer, gentle floating"
scene4_029,4,26.33,"Data Stream",scene4_029_data_stream.mp3,1.5,"quiet flowing ambient tone, soft river-like data"
scene5_001,5,27.00,"Envelope Appears",scene5_001_envelope_appears.mp3,0.5,"soft paper materialization, gentle envelope arriving"
scene5_002,5,27.17,"Seal Appears",scene5_002_seal_appears.mp3,0.3,"quiet sealing sound, soft wax stamp"
scene5_003,5,27.33,"Seal Breaks",scene5_003_seal_breaks.mp3,0.3,"gentle pop sound, soft seal opening"
scene5_004,5,27.43,"Opening Lines",scene5_004_opening_lines.mp3,0.5,"quiet paper unfolding, soft envelope opening"
scene5_005,5,27.50,"Target List",scene5_005_target_list.mp3,0.5,"soft cascading reveal, gentle list appearing with dots"
scene5_006,5,28.00,"Boxes A B C D",scene5_006_boxes_a_b_c_d.mp3,0.8,"four gentle box pop sounds, soft sequential appearance"
scene5_007,5,28.33,"Envelope Shrinks",scene5_007_envelope_shrinks.mp3,0.3,"quiet miniaturization sound, soft fading aside"
scene5_008,5,29.00,"Users Appear",scene5_008_users_appear.mp3,0.6,"three soft silhouette materializations, gentle arrivals"
scene5_009,5,29.50,"Beam 1 Launch",scene5_009_beam_1_launch.mp3,0.5,"soft energy beam launching, gentle directed whoosh"
scene5_010,5,29.53,"Beam 1 Extends",scene5_010_beam_1_extends.mp3,0.3,"quiet energetic extension, soft beam traveling"
scene5_011,5,29.60,"Beam 2 Launch",scene5_011_beam_2_launch.mp3,0.5,"soft second beam launching, gentle parallel whoosh"
scene5_012,5,29.67,"Particles Travel",scene5_012_particles_travel.mp3,0.5,"gentle data flowing through beams, soft ascending arrival"
scene5_013,5,29.83,"Boxes A B Light",scene5_013_boxes_a_b_light.mp3,0.3,"soft activation tones, two gentle glows"
scene5_014,5,30.00,"Checkmark 1",scene5_014_checkmark_1.mp3,0.5,"gentle satisfying confirmation tone, soft success chime"
scene5_015,5,30.17,"Two Beams Launch",scene5_015_two_beams_launch.mp3,0.5,"soft simultaneous beam launches, gentle parallel whooshes"
scene5_016,5,30.33,"Particles Travel 2",scene5_016_particles_travel_2.mp3,0.4,"gentle data flowing, soft movement"
scene5_017,5,30.50,"Boxes C D Light",scene5_017_boxes_c_d_light.mp3,0.3,"soft activation tones, two gentle glows"
scene5_018,5,30.67,"Checkmark 2",scene5_018_checkmark_2.mp3,0.5,"gentle satisfying confirmation, soft parallel success tone"
scene5_019,5,31.00,"Dashed Beam Tries",scene5_019_dashed_beam_tries.mp3,0.4,"soft uncertain beam launch, gentle hesitant energy"
scene5_020,5,31.17,"Beam Hits Barrier",scene5_020_beam_hits_barrier.mp3,0.5,"soft collision impact, gentle shield block sound, not harsh"
scene5_021,5,31.33,"Barrier Appears",scene5_021_barrier_appears.mp3,0.3,"quiet barrier materialization, soft blocking wall"
scene5_022,5,31.43,"X Mark Draws",scene5_022_x_mark_draws.mp3,0.3,"soft crossing pen strokes"
scene5_023,5,31.50,"Conflict Wave 1",scene5_023_conflict_wave_1.mp3,0.3,"gentle expanding ring tone, soft ripple"
scene5_024,5,31.53,"Conflict Wave 2",scene5_024_conflict_wave_2.mp3,0.3,"gentle expanding ring, slightly higher"
scene5_025,5,31.57,"Conflict Wave 3",scene5_025_conflict_wave_3.mp3,0.3,"gentle expanding ring completing sequence"
scene5_026,5,31.67,"BLOCKED Text",scene5_026_blocked_text.mp3,0.4,"soft authoritative tone, gentle denial sound"
scene5_027,5,31.83,"Wait Icon",scene5_027_wait_icon.mp3,0.3,"quiet waiting sound, soft timer tone"
scene5_028,5,31.87,"Clock Tick 1",scene5_028_clock_tick_1.mp3,0.2,"soft clock tick"
scene5_029,5,31.93,"Clock Tick 2",scene5_029_clock_tick_2.mp3,0.2,"soft clock tick"
scene5_030,5,32.00,"Clock Complete",scene5_030_clock_complete.mp3,0.2,"gentle waiting resolution"
scene5_031,5,32.33,"Transition Clear",scene5_031_transition_clear.mp3,0.5,"soft descending clearing tone, gentle space making"
scene5_032,5,32.83,"Data Stream Activates",scene5_032_data_stream_activates.mp3,1.0,"gentle streaming data layer beginning, soft ambient flow"
scene5_033,5,33.00,"Flow Beams Draw",scene5_033_flow_beams_draw.mp3,2.0,"soft cascading beam draws, gentle lines painting across screen, multiple quiet whooshes"
scene5_034,5,34.60,"Secondary Beams",scene5_034_secondary_beams.mp3,0.5,"quiet additional layer of soft beam sounds"
scene5_035,5,34.67,"All Particles Flow",scene5_035_all_particles_flow.mp3,1.5,"gentle massive parallel data flow, soft river network streaming, directional movement"
scene5_036,5,34.77,"Endpoint Glows",scene5_036_endpoint_glows.mp3,0.5,"soft arrival impact sounds, eight gentle confirmations"
scene5_037,5,35.33,"All Boxes Pulse",scene5_037_all_boxes_pulse.mp3,0.5,"gentle triumphant resonance, soft unified glow"
scene5_038,5,35.67,"Ambient Layer",scene5_038_ambient_layer.mp3,1.0,"very soft sparkle shimmer adding richness"
scene5_039,5,36.00,"Final Flow Pulse",scene5_039_final_flow_pulse.mp3,0.5,"soft energy pulse across all beams, gentle conclusion"
scene5_040,5,36.17,"Final Glow",scene5_040_final_glow.mp3,1.0,"gentle climactic hum, soft resonant ending"
scene6_001,6,37.00,"BG Glow",scene6_001_bg_glow.mp3,0.5,"very soft ambient hum beginning, gentle warmth"
scene6_002,6,37.17,"Logo Scales In",scene6_002_logo_scales_in.mp3,0.5,"gentle grand entrance tone, soft brand reveal, elegant"
scene6_003,6,37.33,"Logo Fills",scene6_003_logo_fills.mp3,0.3,"soft neon glow sound, gentle energetic fill"
scene6_004,6,37.50,"Particles",scene6_004_particles.mp3,0.5,"quiet sparkle shimmer, soft floating particles"
scene6_005,6,37.67,"Logo Pulse",scene6_005_logo_pulse.mp3,0.5,"gentle resonant pulse, soft heartbeat-like brand signature"
scene6_006,6,37.83,"Hold Ambient",scene6_006_hold_ambient.mp3,0.5,"soft sustained ambient tone, gentle conclusion"
